id;type;designation;s_ph;nb_ph;s_n;n;s_pe;pe;isolant_pvc;rho0;reactance_l
1;1;U1000 R2V 2x1.5;1,5;1;1,5;1;0;0;0;18,51;0,08
2;1;U1000 R2V 2x2.5;2,5;1;2,5;1;0;0;0;18,51;0,08
3;1;U1000 R2V 2x4;4;1;4;1;0;0;0;18,51;0,08
4;1;U1000 R2V 2x6;6;1;6;1;0;0;0;18,51;0,08
5;1;U1000 R2V 2x10;10;1;10;1;0;0;0;18,51;0,08
6;1;U1000 R2V 2x16;16;1;16;1;0;0;0;18,51;0,08
7;1;U1000 R2V 2x25;25;1;25;1;0;0;0;18,51;0,08
8;1;U1000 R2V 2x35;35;1;35;1;0;0;0;18,51;0,08
9;1;U1000 R2V 3x1.5;1,5;3;0;0;0;0;0;18,51;0,08
10;1;U1000 R2V 3x2.5;2,5;3;0;0;0;0;0;18,51;0,08
11;1;U1000 R2V 3x4;4;3;0;0;0;0;0;18,51;0,08
12;1;U1000 R2V 3x6;6;3;0;0;0;0;0;18,51;0,08
13;1;U1000 R2V 3x10;10;3;0;0;0;0;0;18,51;0,08
14;1;U1000 R2V 3x16;16;3;0;0;0;0;0;18,51;0,08
15;1;U1000 R2V 3x25;25;3;0;0;0;0;0;18,51;0,08
16;1;U1000 R2V 3x35;35;3;0;0;0;0;0;18,51;0,08
17;1;U1000 R2V 4x1.5;1,5;3;1,5;1;0;0;0;18,51;0,08
18;1;U1000 R2V 4x2.5;2,5;3;2,5;1;0;0;0;18,51;0,08
19;1;U1000 R2V 4x4;4;3;4;1;0;0;0;18,51;0,08
20;1;U1000 R2V 4x6;6;3;6;1;0;0;0;18,51;0,08
21;1;U1000 R2V 4x10;10;3;10;1;0;0;0;18,51;0,08
22;1;U1000 R2V 4x16;16;3;16;1;0;0;0;18,51;0,08
23;1;U1000 R2V 4x25;25;3;25;1;0;0;0;18,51;0,08
24;1;U1000 R2V 4x35;35;3;35;1;0;0;0;18,51;0,08
25;1;U1000 R2V 3G1.5;1,5;1;1,5;1;1,5;1;0;18,51;0,08
26;1;U1000 R2V 3G2.5;2,5;1;2,5;1;2,5;1;0;18,51;0,08
27;1;U1000 R2V 3G4;4;1;4;1;4;1;0;18,51;0,08
28;1;U1000 R2V 3G6;6;1;6;1;6;1;0;18,51;0,08
29;1;U1000 R2V 3G10;10;1;10;1;10;1;0;18,51;0,08
30;1;U1000 R2V 3G16;16;1;16;1;16;1;0;18,51;0,08
31;1;U1000 R2V 3G25;25;1;25;1;25;1;0;18,51;0,08
32;1;U1000 R2V 3G35;35;1;35;1;35;1;0;18,51;0,08
33;1;U1000 R2V 4G1.5;1,5;3;0;0;1,5;1;0;18,51;0,08
34;1;U1000 R2V 4G2.5;2,5;3;0;0;2,5;1;0;18,51;0,08
35;1;U1000 R2V 4G4;4;3;0;0;4;1;0;18,51;0,08
36;1;U1000 R2V 4G6;6;3;0;0;6;1;0;18,51;0,08
37;1;U1000 R2V 4G10;10;3;0;0;10;1;0;18,51;0,08
38;1;U1000 R2V 4G16;16;3;0;0;16;1;0;18,51;0,08
39;1;U1000 R2V 4G25;25;3;0;0;25;1;0;18,51;0,08
40;1;U1000 R2V 4G35;35;3;0;0;35;1;0;18,51;0,08
41;1;U1000 R2V 5G1.5;1,5;3;1,5;1;1,5;1;0;18,51;0,08
42;1;U1000 R2V 5G2.5;2,5;3;2,5;1;2,5;1;0;18,51;0,08
43;1;U1000 R2V 5G4;4;3;4;1;4;1;0;18,51;0,08
44;1;U1000 R2V 5G6;6;3;6;1;6;1;0;18,51;0,08
45;1;U1000 R2V 5G10;10;3;10;1;10;1;0;18,51;0,08
46;1;U1000 R2V 5G16;16;3;16;1;16;1;0;18,51;0,08
47;1;U1000 R2V 5G25;25;3;25;1;25;1;0;18,51;0,08
48;1;U1000 R2V 5G35;35;3;35;1;35;1;0;18,51;0,08
49;2;U1000 RVFV 2x1.5;1,5;1;1,5;1;0;0;0;18,51;0,08
50;2;U1000 RVFV 2x2.5;2,5;1;2,5;1;0;0;0;18,51;0,08
51;2;U1000 RVFV 2x4;4;1;4;1;0;0;0;18,51;0,08
52;2;U1000 RVFV 2x6;6;1;6;1;0;0;0;18,51;0,08
53;2;U1000 RVFV 2x10;10;1;10;1;0;0;0;18,51;0,08
54;2;U1000 RVFV 2x16;16;1;16;1;0;0;0;18,51;0,08
55;2;U1000 RVFV 2x25;25;1;25;1;0;0;0;18,51;0,08
56;2;U1000 RVFV 2x35;35;1;35;1;0;0;0;18,51;0,08
57;2;U1000 RVFV 3x1.5;1,5;3;0;0;0;0;0;18,51;0,08
58;2;U1000 RVFV 3x2.5;2,5;3;0;0;0;0;0;18,51;0,08
59;2;U1000 RVFV 3x4;4;3;0;0;0;0;0;18,51;0,08
60;2;U1000 RVFV 3x6;6;3;0;0;0;0;0;18,51;0,08
61;2;U1000 RVFV 3x10;10;3;0;0;0;0;0;18,51;0,08
62;2;U1000 RVFV 3x16;16;3;0;0;0;0;0;18,51;0,08
63;2;U1000 RVFV 3x25;25;3;0;0;0;0;0;18,51;0,08
64;2;U1000 RVFV 3x35;35;3;0;0;0;0;0;18,51;0,08
65;2;U1000 RVFV 4x1.5;1,5;3;1,5;1;0;0;0;18,51;0,08
66;2;U1000 RVFV 4x2.5;2,5;3;2,5;1;0;0;0;18,51;0,08
67;2;U1000 RVFV 4x4;4;3;4;1;0;0;0;18,51;0,08
68;2;U1000 RVFV 4x6;6;3;6;1;0;0;0;18,51;0,08
69;2;U1000 RVFV 4x10;10;3;10;1;0;0;0;18,51;0,08
70;2;U1000 RVFV 4x16;16;3;16;1;0;0;0;18,51;0,08
71;2;U1000 RVFV 4x25;25;3;25;1;0;0;0;18,51;0,08
72;2;U1000 RVFV 4x35;35;3;35;1;0;0;0;18,51;0,08
73;2;U1000 RVFV 3G1.5;1,5;1;1,5;1;1,5;1;0;18,51;0,08
74;2;U1000 RVFV 3G2.5;2,5;1;2,5;1;2,5;1;0;18,51;0,08
75;2;U1000 RVFV 3G4;4;1;4;1;4;1;0;18,51;0,08
76;2;U1000 RVFV 3G6;6;1;6;1;6;1;0;18,51;0,08
77;2;U1000 RVFV 3G10;10;1;10;1;10;1;0;18,51;0,08
78;2;U1000 RVFV 3G16;16;1;16;1;16;1;0;18,51;0,08
79;2;U1000 RVFV 3G25;25;1;25;1;25;1;0;18,51;0,08
80;2;U1000 RVFV 3G35;35;1;35;1;35;1;0;18,51;0,08
81;2;U1000 RVFV 4G1.5;1,5;3;0;0;1,5;1;0;18,51;0,08
82;2;U1000 RVFV 4G2.5;2,5;3;0;0;2,5;1;0;18,51;0,08
83;2;U1000 RVFV 4G4;4;3;0;0;4;1;0;18,51;0,08
84;2;U1000 RVFV 4G6;6;3;0;0;6;1;0;18,51;0,08
85;2;U1000 RVFV 4G10;10;3;0;0;10;1;0;18,51;0,08
86;2;U1000 RVFV 4G16;16;3;0;0;16;1;0;18,51;0,08
87;2;U1000 RVFV 4G25;25;3;0;0;25;1;0;18,51;0,08
88;2;U1000 RVFV 4G35;35;3;0;0;35;1;0;18,51;0,08
89;2;U1000 RVFV 5G1.5;1,5;3;1,5;1;1,5;1;0;18,51;0,08
90;2;U1000 RVFV 5G2.5;2,5;3;2,5;1;2,5;1;0;18,51;0,08
91;2;U1000 RVFV 5G4;4;3;4;1;4;1;0;18,51;0,08
92;2;U1000 RVFV 5G6;6;3;6;1;6;1;0;18,51;0,08
93;2;U1000 RVFV 5G10;10;3;10;1;10;1;0;18,51;0,08
94;2;U1000 RVFV 5G16;16;3;16;1;16;1;0;18,51;0,08
95;2;U1000 RVFV 5G25;25;3;25;1;25;1;0;18,51;0,08
96;2;U1000 RVFV 5G35;35;3;35;1;35;1;0;18,51;0,08
97;8;Torsade 2x16;16;1;16;1;0;0;0;29,41;0,08
98;8;Torsade 2x25;25;1;25;1;0;0;0;29,41;0,08
99;8;Torsade 4x16;16;3;16;1;0;0;0;29,41;0,08
100;8;Torsade 4x25;25;3;25;1;0;0;0;29,41;0,08
101;24;H 07 RN-F 2x1.5;1,5;1;1,5;1;0;0;1;18,51;0,08
102;24;H 07 RN-F 2x2.5;2,5;1;2,5;1;0;0;1;18,51;0,08
103;24;H 07 RN-F 2x4;4;1;4;1;0;0;1;18,51;0,08
104;24;H 07 RN-F 2x6;6;1;6;1;0;0;1;18,51;0,08
105;24;H 07 RN-F 2x10;10;1;10;1;0;0;1;18,51;0,08
